Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
Mujeeb Ur Rahman (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Hambantota,2 Jun 2023,
Fazalhaq Farooqi (AFG),DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,5 Jul 2023,
Najibullah Zadran (AFG),DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,5 Jul 2023,
Azmatullah Omarzai (AFG),DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,5 Jul 2023,
Mujeeb Ur Rahman (AFG),DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,5 Jul 2023,
Rashid Khan (AFG),DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,5 Jul 2023,
Mohammad Saleem (AFG),DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,5 Jul 2023,
Mohammad Nabi (AFG),DNB,-,-,-,-,-,2,,v Bangladesh,Chattogram,5 Jul 2023,
Mohammad Saleem (AFG),DNB,-,-,-,-,-,1,,v Bangladesh,Chattogram,8 Jul 2023,
Ebadot Hossain (BAN),absent,-,-,-,-,-,2,,v Afghanistan,Chattogram,8 Jul 2023,
Taskin Ahmed (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Chattogram,11 Jul 2023,
Afif Hossain (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Chattogram,11 Jul 2023,
Mushfiqur Rahim (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Chattogram,11 Jul 2023,
Mehidy Hasan Miraz (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Chattogram,11 Jul 2023,
Shoriful Islam (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Chattogram,11 Jul 2023,
Taijul Islam (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Chattogram,11 Jul 2023,
V Kohli (IND),DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,27 Jul 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,27 Jul 2023,
Mukesh Kumar (IND),DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,27 Jul 2023,
Umran Malik (IND),DNB,-,-,-,-,-,2,,v West Indies,Bridgetown,27 Jul 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,1,,v West Indies,Tarouba,1 Aug 2023,
Mukesh Kumar (IND),DNB,-,-,-,-,-,1,,v West Indies,Tarouba,1 Aug 2023,
JD Unadkat (IND),DNB,-,-,-,-,-,1,,v West Indies,Tarouba,1 Aug 2023,
SN Thakur (IND),DNB,-,-,-,-,-,1,,v West Indies,Tarouba,1 Aug 2023,
Ikram Alikhil (AFG),DNB,-,-,-,-,-,1,,v Pakistan,Hambantota,24 Aug 2023,
Riaz Hassan (AFG),DNB,-,-,-,-,-,1,,v Pakistan,Hambantota,24 Aug 2023,
Fazalhaq Farooqi (AFG),DNB,-,-,-,-,-,1,,v Pakistan,Hambantota,24 Aug 2023,
Mujeeb Ur Rahman (AFG),DNB,-,-,-,-,-,1,,v Pakistan,Hambantota,24 Aug 2023,
Mohammad Wasim (1) (PAK),DNB,-,-,-,-,-,1,,v Afghanistan,Colombo (RPS),26 Aug 2023,
Naseem Shah (PAK),DNB,-,-,-,-,-,1,,v Nepal,Multan,30 Aug 2023,
Mohammad Nawaz (3) (PAK),DNB,-,-,-,-,-,1,,v Nepal,Multan,30 Aug 2023,
Shaheen Shah Afridi (PAK),DNB,-,-,-,-,-,1,,v Nepal,Multan,30 Aug 2023,
Haris Rauf (PAK),DNB,-,-,-,-,-,1,,v Nepal,Multan,30 Aug 2023,
Mohammad Nawaz (3) (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Imam-ul-Haq (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Shaheen Shah Afridi (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Babar Azam (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Fakhar Zaman (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Shadab Khan (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Haris Rauf (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Mohammad Rizwan (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Iftikhar Ahmed (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Agha Salman (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Naseem Shah (PAK),TDNB,-,-,-,-,-,-,,v India,Pallekele,2 Sep 2023,
Taskin Ahmed (BAN),DNB,-,-,-,-,-,1,,v Afghanistan,Lahore,3 Sep 2023,
Hasan Mahmud (BAN),DNB,-,-,-,-,-,1,,v Afghanistan,Lahore,3 Sep 2023,
Shoriful Islam (BAN),DNB,-,-,-,-,-,1,,v Afghanistan,Lahore,3 Sep 2023,
RA Jadeja (IND),DNB,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,
Mohammed Shami (IND),DNB,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,
SS Iyer (IND),DNB,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,
HH Pandya (IND),DNB,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,
V Kohli (IND),DNB,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,
Ishan Kishan (IND),DNB,-,-,-,-,-,2,,v Nepal,Pallekele,4 Sep 2023,
Shaheen Shah Afridi (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Lahore,6 Sep 2023,
Shadab Khan (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Lahore,6 Sep 2023,
Haris Rauf (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Lahore,6 Sep 2023,
Faheem Ashraf (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Lahore,6 Sep 2023,
Naseem Shah (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Lahore,6 Sep 2023,
Iftikhar Ahmed (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Lahore,6 Sep 2023,
JR Hazlewood (AUS),DNB,-,-,-,-,-,2,,v South Africa,Bloemfontein,7 Sep 2023,
A Zampa (AUS),DNB,-,-,-,-,-,2,,v South Africa,Bloemfontein,7 Sep 2023,
RJW Topley (ENG),DNB,-,-,-,-,-,1,,v New Zealand,Cardiff,8 Sep 2023,
AU Rashid (ENG),DNB,-,-,-,-,-,1,,v New Zealand,Cardiff,8 Sep 2023,
AAP Atkinson (ENG),DNB,-,-,-,-,-,1,,v New Zealand,Cardiff,8 Sep 2023,
LH Ferguson (NZ),DNB,-,-,-,-,-,2,,v England,Cardiff,8 Sep 2023,
R Ravindra (NZ),DNB,-,-,-,-,-,2,,v England,Cardiff,8 Sep 2023,
TG Southee (NZ),DNB,-,-,-,-,-,2,,v England,Cardiff,8 Sep 2023,
TWM Latham (NZ),DNB,-,-,-,-,-,2,,v England,Cardiff,8 Sep 2023,
GD Phillips (NZ),DNB,-,-,-,-,-,2,,v England,Cardiff,8 Sep 2023,
MJ Henry (NZ),DNB,-,-,-,-,-,2,,v England,Cardiff,8 Sep 2023,
KA Jamieson (NZ),DNB,-,-,-,-,-,2,,v England,Cardiff,8 Sep 2023,
A Zampa (AUS),DNB,-,-,-,-,-,1,,v South Africa,Bloemfontein,9 Sep 2023,
Ishan Kishan (IND),DNB,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,
RA Jadeja (IND),DNB,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,
SN Thakur (IND),DNB,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,
JJ Bumrah (IND),DNB,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,
HH Pandya (IND),DNB,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,1,,v Pakistan,Colombo (RPS),10 Sep 2023,
Naseem Shah (PAK),absent,-,-,-,-,-,2,,v India,Colombo (RPS),10 Sep 2023,
Haris Rauf (PAK),absent,-,-,-,-,-,2,,v India,Colombo (RPS),10 Sep 2023,
RJW Topley (ENG),DNB,-,-,-,-,-,1,,v New Zealand,Southampton,10 Sep 2023,
AAP Atkinson (ENG),DNB,-,-,-,-,-,1,,v New Zealand,Southampton,10 Sep 2023,
KA Maharaj (SA),DNB,-,-,-,-,-,1,,v Australia,Potchefstroom,12 Sep 2023,
T Shamsi (SA),DNB,-,-,-,-,-,1,,v Australia,Potchefstroom,12 Sep 2023,
G Coetzee (SA),DNB,-,-,-,-,-,1,,v Australia,Potchefstroom,12 Sep 2023,
Mohammad Wasim (1) (PAK),DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),14 Sep 2023,
Zaman Khan (PAK),DNB,-,-,-,-,-,1,,v Sri Lanka,Colombo (RPS),14 Sep 2023,
Mustafizur Rahman (BAN),DNB,-,-,-,-,-,1,,v India,Colombo (RPS),15 Sep 2023,
KA Maharaj (SA),DNB,-,-,-,-,-,1,,v Australia,Centurion,15 Sep 2023,
L Ngidi (SA),DNB,-,-,-,-,-,1,,v Australia,Centurion,15 Sep 2023,
G Coetzee (SA),DNB,-,-,-,-,-,1,,v Australia,Centurion,15 Sep 2023,
K Rabada (SA),DNB,-,-,-,-,-,1,,v Australia,Centurion,15 Sep 2023,
M Jansen (SA),DNB,-,-,-,-,-,1,,v Australia,Centurion,15 Sep 2023,
TG Southee (NZ),absent,-,-,-,-,-,2,,v England,Lord's,15 Sep 2023,
RG Sharma (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
KL Rahul (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
JJ Bumrah (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
V Kohli (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
HH Pandya (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
RA Jadeja (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
Washington Sundar (IND),DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (RPS),17 Sep 2023,
Nurul Hasan (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Mahedi Hasan (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Tanzim Hasan Sakib (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Mahmudullah (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Nasum Ahmed (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Litton Das (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Towhid Hridoy (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Mustafizur Rahman (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Soumya Sarkar (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Tanzid Hasan (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
Tamim Iqbal (BAN),TDNB,-,-,-,-,-,-,,v New Zealand,Mirpur,21 Sep 2023,
KA Jamieson (NZ),DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,21 Sep 2023,
IS Sodhi (NZ),DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,21 Sep 2023,
TA Boult (NZ),DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,21 Sep 2023,
LH Ferguson (NZ),DNB,-,-,-,-,-,1,,v Bangladesh,Mirpur,21 Sep 2023,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v Australia,Mohali,22 Sep 2023,
R Ashwin (IND),DNB,-,-,-,-,-,2,,v Australia,Mohali,22 Sep 2023,
JJ Bumrah (IND),DNB,-,-,-,-,-,2,,v Australia,Mohali,22 Sep 2023,
Mohammed Shami (IND),DNB,-,-,-,-,-,2,,v Australia,Mohali,22 Sep 2023,
GLS Scrimshaw (ENG),DNB,-,-,-,-,-,1,,v Ireland,Nottingham,23 Sep 2023,
R Ashwin (IND),DNB,-,-,-,-,-,1,,v Australia,Indore,24 Sep 2023,
Mohammed Shami (IND),DNB,-,-,-,-,-,1,,v Australia,Indore,24 Sep 2023,
M Prasidh Krishna (IND),DNB,-,-,-,-,-,1,,v Australia,Indore,24 Sep 2023,
SN Thakur (IND),DNB,-,-,-,-,-,1,,v Australia,Indore,24 Sep 2023,
AF Milne (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Mirpur,26 Sep 2023,
CE McConchie (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Mirpur,26 Sep 2023,
TA Boult (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Mirpur,26 Sep 2023,
LH Ferguson (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Mirpur,26 Sep 2023,
IS Sodhi (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Mirpur,26 Sep 2023,
R Ravindra (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Mirpur,26 Sep 2023,
Rehan Ahmed (ENG),DNB,-,-,-,-,-,1,,v Ireland,Bristol,26 Sep 2023,
BA Carse (ENG),DNB,-,-,-,-,-,1,,v Ireland,Bristol,26 Sep 2023,
TW Hartley (ENG),DNB,-,-,-,-,-,1,,v Ireland,Bristol,26 Sep 2023,
L Wood (ENG),DNB,-,-,-,-,-,1,,v Ireland,Bristol,26 Sep 2023,
JL Smith (ENG),DNB,-,-,-,-,-,1,,v Ireland,Bristol,26 Sep 2023,
MJ Potts (ENG),DNB,-,-,-,-,-,1,,v Ireland,Bristol,26 Sep 2023,
T Sangha (AUS),DNB,-,-,-,-,-,1,,v India,Rajkot,27 Sep 2023,
JR Hazlewood (AUS),DNB,-,-,-,-,-,1,,v India,Rajkot,27 Sep 2023,
JDS Neesham (NZ),DNB,-,-,-,-,-,2,,v England,Ahmedabad,5 Oct 2023,
TWM Latham (NZ),DNB,-,-,-,-,-,2,,v England,Ahmedabad,5 Oct 2023,
MJ Henry (NZ),DNB,-,-,-,-,-,2,,v England,Ahmedabad,5 Oct 2023,
TA Boult (NZ),DNB,-,-,-,-,-,2,,v England,Ahmedabad,5 Oct 2023,
DJ Mitchell (NZ),DNB,-,-,-,-,-,2,,v England,Ahmedabad,5 Oct 2023,
MJ Santner (NZ),DNB,-,-,-,-,-,2,,v England,Ahmedabad,5 Oct 2023,
GD Phillips (NZ),DNB,-,-,-,-,-,2,,v England,Ahmedabad,5 Oct 2023,
MS Chapman (NZ),DNB,-,-,-,-,-,2,,v England,Ahmedabad,5 Oct 2023,
Shoriful Islam (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Dharamsala,7 Oct 2023,
Mahmudullah (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Dharamsala,7 Oct 2023,
Mustafizur Rahman (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Dharamsala,7 Oct 2023,
Towhid Hridoy (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Dharamsala,7 Oct 2023,
Taskin Ahmed (BAN),DNB,-,-,-,-,-,2,,v Afghanistan,Dharamsala,7 Oct 2023,
G Coetzee (SA),DNB,-,-,-,-,-,1,,v Sri Lanka,Delhi,7 Oct 2023,
K Rabada (SA),DNB,-,-,-,-,-,1,,v Sri Lanka,Delhi,7 Oct 2023,
KA Maharaj (SA),DNB,-,-,-,-,-,1,,v Sri Lanka,Delhi,7 Oct 2023,
L Ngidi (SA),DNB,-,-,-,-,-,1,,v Sri Lanka,Delhi,7 Oct 2023,
RA Jadeja (IND),DNB,-,-,-,-,-,2,,v Australia,Chennai,8 Oct 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v Australia,Chennai,8 Oct 2023,
R Ashwin (IND),DNB,-,-,-,-,-,2,,v Australia,Chennai,8 Oct 2023,
JJ Bumrah (IND),DNB,-,-,-,-,-,2,,v Australia,Chennai,8 Oct 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Australia,Chennai,8 Oct 2023,
LH Ferguson (NZ),DNB,-,-,-,-,-,1,,v Netherlands,Hyderabad,9 Oct 2023,
TA Boult (NZ),DNB,-,-,-,-,-,1,,v Netherlands,Hyderabad,9 Oct 2023,
Haris Rauf (PAK),DNB,-,-,-,-,-,2,,v Sri Lanka,Hyderabad,10 Oct 2023,
Hasan Ali (PAK),DNB,-,-,-,-,-,2,,v Sri Lanka,Hyderabad,10 Oct 2023,
Shaheen Shah Afridi (PAK),DNB,-,-,-,-,-,2,,v Sri Lanka,Hyderabad,10 Oct 2023,
Mohammad Nawaz (3) (PAK),DNB,-,-,-,-,-,2,,v Sri Lanka,Hyderabad,10 Oct 2023,
Shadab Khan (PAK),DNB,-,-,-,-,-,2,,v Sri Lanka,Hyderabad,10 Oct 2023,
Fazalhaq Farooqi (AFG),DNB,-,-,-,-,-,1,,v India,Delhi,11 Oct 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,
RA Jadeja (IND),DNB,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,
JJ Bumrah (IND),DNB,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,
KL Rahul (IND),DNB,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,
HH Pandya (IND),DNB,-,-,-,-,-,2,,v Afghanistan,Delhi,11 Oct 2023,
L Ngidi (SA),DNB,-,-,-,-,-,1,,v Australia,Lucknow,12 Oct 2023,
T Shamsi (SA),DNB,-,-,-,-,-,1,,v Australia,Lucknow,12 Oct 2023,
LH Ferguson (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Chennai,13 Oct 2023,
MS Chapman (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Chennai,13 Oct 2023,
MJ Henry (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Chennai,13 Oct 2023,
TA Boult (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Chennai,13 Oct 2023,
TWM Latham (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Chennai,13 Oct 2023,
MJ Santner (NZ),DNB,-,-,-,-,-,2,,v Bangladesh,Chennai,13 Oct 2023,
JJ Bumrah (IND),DNB,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,
HH Pandya (IND),DNB,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,
RA Jadeja (IND),DNB,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v Pakistan,Ahmedabad,14 Oct 2023,
PJ Cummins (AUS),DNB,-,-,-,-,-,2,,v Sri Lanka,Lucknow,16 Oct 2023,
MA Starc (AUS),DNB,-,-,-,-,-,2,,v Sri Lanka,Lucknow,16 Oct 2023,
A Zampa (AUS),DNB,-,-,-,-,-,2,,v Sri Lanka,Lucknow,16 Oct 2023,
JR Hazlewood (AUS),DNB,-,-,-,-,-,2,,v Sri Lanka,Lucknow,16 Oct 2023,
LH Ferguson (NZ),DNB,-,-,-,-,-,1,,v Afghanistan,Chennai,18 Oct 2023,
MJ Henry (NZ),DNB,-,-,-,-,-,1,,v Afghanistan,Chennai,18 Oct 2023,
TA Boult (NZ),DNB,-,-,-,-,-,1,,v Afghanistan,Chennai,18 Oct 2023,
Hasan Mahmud (BAN),DNB,-,-,-,-,-,1,,v India,Pune,19 Oct 2023,
HH Pandya (IND),DNB,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,
RA Jadeja (IND),DNB,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,
SN Thakur (IND),DNB,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,
JJ Bumrah (IND),DNB,-,-,-,-,-,2,,v Bangladesh,Pune,19 Oct 2023,
L Ngidi (SA),DNB,-,-,-,-,-,1,,v England,Wankhede,21 Oct 2023,
K Rabada (SA),DNB,-,-,-,-,-,1,,v England,Wankhede,21 Oct 2023,
RJW Topley (ENG),absent,-,-,-,-,-,2,,v South Africa,Wankhede,21 Oct 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,2,,v New Zealand,Dharamsala,22 Oct 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,2,,v New Zealand,Dharamsala,22 Oct 2023,
JJ Bumrah (IND),DNB,-,-,-,-,-,2,,v New Zealand,Dharamsala,22 Oct 2023,
Usama Mir (PAK),DNB,-,-,-,-,-,1,,v Afghanistan,Chennai,23 Oct 2023,
Haris Rauf (PAK),DNB,-,-,-,-,-,1,,v Afghanistan,Chennai,23 Oct 2023,
Hasan Ali (PAK),DNB,-,-,-,-,-,1,,v Afghanistan,Chennai,23 Oct 2023,
Rashid Khan (AFG),DNB,-,-,-,-,-,2,,v Pakistan,Chennai,23 Oct 2023,
Ikram Alikhil (AFG),DNB,-,-,-,-,-,2,,v Pakistan,Chennai,23 Oct 2023,
Noor Ahmad (AFG),DNB,-,-,-,-,-,2,,v Pakistan,Chennai,23 Oct 2023,
Mohammad Nabi (AFG),DNB,-,-,-,-,-,2,,v Pakistan,Chennai,23 Oct 2023,
Naveen-ul-Haq (AFG),DNB,-,-,-,-,-,2,,v Pakistan,Chennai,23 Oct 2023,
Mujeeb Ur Rahman (AFG),DNB,-,-,-,-,-,2,,v Pakistan,Chennai,23 Oct 2023,
Azmatullah Omarzai (AFG),DNB,-,-,-,-,-,2,,v Pakistan,Chennai,23 Oct 2023,
LB Williams (SA),DNB,-,-,-,-,-,1,,v Bangladesh,Wankhede,24 Oct 2023,
G Coetzee (SA),DNB,-,-,-,-,-,1,,v Bangladesh,Wankhede,24 Oct 2023,
K Rabada (SA),DNB,-,-,-,-,-,1,,v Bangladesh,Wankhede,24 Oct 2023,
KA Maharaj (SA),DNB,-,-,-,-,-,1,,v Bangladesh,Wankhede,24 Oct 2023,
JR Hazlewood (AUS),DNB,-,-,-,-,-,1,,v Netherlands,Delhi,25 Oct 2023,
Usama Mir (PAK),sub,-,-,-,-,-,1,,v South Africa,Chennai,27 Oct 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,1,,v England,Lucknow,29 Oct 2023,
Naveen-ul-Haq (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,30 Oct 2023,
Mujeeb Ur Rahman (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,30 Oct 2023,
Rashid Khan (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,30 Oct 2023,
Ikram Alikhil (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,30 Oct 2023,
Fazalhaq Farooqi (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,30 Oct 2023,
Mohammad Nabi (AFG),DNB,-,-,-,-,-,2,,v Sri Lanka,Pune,30 Oct 2023,
Shaheen Shah Afridi (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Eden Gardens,31 Oct 2023,
Agha Salman (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Eden Gardens,31 Oct 2023,
Mohammad Wasim (1) (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Eden Gardens,31 Oct 2023,
Saud Shakeel (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Eden Gardens,31 Oct 2023,
Haris Rauf (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Eden Gardens,31 Oct 2023,
Usama Mir (PAK),DNB,-,-,-,-,-,2,,v Bangladesh,Eden Gardens,31 Oct 2023,
G Coetzee (SA),DNB,-,-,-,-,-,1,,v New Zealand,Pune,1 Nov 2023,
K Rabada (SA),DNB,-,-,-,-,-,1,,v New Zealand,Pune,1 Nov 2023,
M Jansen (SA),DNB,-,-,-,-,-,1,,v New Zealand,Pune,1 Nov 2023,
KA Maharaj (SA),DNB,-,-,-,-,-,1,,v New Zealand,Pune,1 Nov 2023,
L Ngidi (SA),DNB,-,-,-,-,-,1,,v New Zealand,Pune,1 Nov 2023,
Kuldeep Yadav (IND),DNB,-,-,-,-,-,1,,v Sri Lanka,Wankhede,2 Nov 2023,
Mohammed Siraj (IND),DNB,-,-,-,-,-,1,,v Sri Lanka,Wankhede,2 Nov 2023,
Noor Ahmad (AFG),DNB,-,-,-,-,-,2,,v Netherlands,Lucknow,3 Nov 2023,
Mohammad Nabi (AFG),DNB,-,-,-,-,-,2,,v Netherlands,Lucknow,3 Nov 2023,
Rashid Khan (AFG),DNB,-,-,-,-,-,2,,v Netherlands,Lucknow,3 Nov 2023,
Ikram Alikhil (AFG),DNB,-,-,-,-,-,2,,v Netherlands,Lucknow,3 Nov 2023,
Fazalhaq Farooqi (AFG),DNB,-,-,-,-,-,2,,v Netherlands,Lucknow,3 Nov 2023,
Mujeeb Ur Rahman (AFG),DNB,-,-,-,-,-,2,,v Netherlands,Lucknow,3 Nov 2023,
TA Boult (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Bengaluru,4 Nov 2023,
IS Sodhi (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Bengaluru,4 Nov 2023,
TG Southee (NZ),DNB,-,-,-,-,-,1,,v Pakistan,Bengaluru,4 Nov 2023,
Saud Shakeel (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Bengaluru,4 Nov 2023,
Agha Salman (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Bengaluru,4 Nov 2023,
Shaheen Shah Afridi (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Bengaluru,4 Nov 2023,
Mohammad Rizwan (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Bengaluru,4 Nov 2023,
Mohammad Wasim (1) (PAK),DNB,-,-,-,-,-,2,,v New Zealand,Bengaluru,4 Nov 2023,
